RU/UK,EN
9n314m ракети класу земля-повітря серії 9m38,9n314m ground-air rocket series 9m38
зенітно-ракетного комплексу бук м1,anti-aircraft rocket complex beech m1
зенітно-ракетного комплексу бук,anti-aircraft missile complex beech
віллем віттевеен,willem witteween
донбассе,donbass
курська,italian
василю миколайовичу,vasily nikolaevich
установка бук,beech installation
установку бук,beech installation
об'єднаної слідчої групи,a joint investigation team
луганську,lugansk
європейського поліцейського управління,european police department
європейського агентства авіаційної безпеки,european aviation safety agency
easa,easa
міністерства внутрішніх справ,ministry of the interior
махніцкій,mahnitsky
махніцький,mahnitsky
instagram,instagram
служби безпеки,security services
віктору януковичу,viktor yanukovych
twitter,twitter
віктор пшонка,victor pishonka
google+,google +
олег махніцький,oleg mechnitsky
луцька,lutsk
пшонка,pungent
віталій захарченко,vitaly zaharchenko
волині,volyn
штаб національного опору,the headquarters of the national resistance
банкової,bank
івано-франківської облдержадміністрації,ivano-frankivsk regional state administration
gazeta.ua,gazeta.ua
міністерства юстиції україни,ministry of justice of ukraine
народна рада,people's council
facebook.com/mefistoff,facebook.com/mefistoff
міністерство юстиції,department of justice
уніан,unian
рада,council
яценюк,yatsenyuk
черкасах,cherkasy
яна соболевська,ian sobolevsky
кличко,nice little
олександром данилюком,oleksandr daniluk
олег тягнибок,oleg tiefnibok
унн,un
дніпропетровської облдержадміністрації,dnipropetrovsk regional state administration
київської адміністрації,kiev administration
сайт мвс в області,site mvs in the area
удар,shock
дніпропетровської ода,dnipropetrovsk ode
донські,don
чернігові,blackberry
вільнюса,freehand
андрія дзиндзі,andria jingzi
організації об'єднаних націй,organization of united nations
insider,insider
во свобода,in freedom
шевченківський районний суд,shevchenkivsky district court
народну раду києва,people's council of kiev
майдані незалежності,independence square
єфремов,ephraim
громадськістю мвс україни,the public mvs of ukraine
громадськістю гумвс україни,the public of gumbs of ukraine
київська міліція,kiev police
львівської обласної ради,lviv regional council
сергій хаджинов,sergey khajinov
василь чуднов,vasily is wonderful
міста києва,city of kiev
олени лукаш,deer lukash
мінагропроду - свобода,managers - freedom
держреєстру,the state register
мінагрополітики,minagropolitiki
вогневої установки бук,fire installation beech
радіостанції radio-1,radio-1 radio stations
антон геращенко,anton geraschenko
монголія,mongolia
сергія дубінського,sergey dubinsky
франції,france
нью-йорку,new york
пасажирський боїнг,passenger boeing
комплекси бук або с-300,complexes of beech or s-300
спільна міжнародна слідча група,joint international investigation team
маріуполя,mariupol
шуба джайя,jaya coat
радбезу нідерландів,the freebie of the netherlands
австралії,australia
малайзійська,malaysian
boeing 777,boeing 777
петер броертєс,peter burettes
керовані,managed
збройні сили україни,armed forces of ukraine
генпрокуратуру нідерландів,general prosecutor's office of the netherlands
ракета бук,rocket beech
установки бук 3x2,beech 3x2 installation
американськими,american
європейської комісії,european commission
сенату нідерландів,senate of the netherlands
ангола,angola
володимира путіна,volodymyr putin
міжнародної комісії з розслідування,international investigation commission
ікао,yakao
нідерландської,the netherlands
королівством нідерландів,kingdom of the netherlands
видання hrriyet,hrriyet edition
ракета типу 9м38м або 9м38м1,missile type 9m38m or 9m38m1
russia today,russia today
літака mh17,plane mh17
associated press,associated press
мо рф,mou rf
нідерландське,the netherlands
віталій чуркін,vitali churkin
куала-лумпура,kuala lumpur
південному сході,south east
53-й зенітно-ракетній бригаді,53rd anti-aircraft rocket brigade
ради безпеки по україні,for the sake of security in ukraine
джоеп ланге,john lange
masint,the machine
проспекту ілліча,ilyich avenue
сергій арбузов,sergey watermelon
європейська комісія,the european commission
олександра турчинова,alexandra turchinova
партії регіонів,party of regions
верховної ради україни,supreme council of ukraine
верховній раді,supreme council
конституційного суду,constitutional court
арбузову,watermelon
дмитро медведєв,dmitry medvedev
брюсселі,brussels
телеканалу ubr,ubr channel
парламентом,parliament
віктор мусіяка,viktor musika
батьківщина,home
zakarpattya.net.ua,zakarpattya.net.ua
автомайдану,auto maiden
джен псакі,jen psaki
reuters,reuters
пан гі мун,mr. guy moon
черкаської свободи,cherkasskaya freedom
вулиці грушевського,streets of grushevskogo
громадського руху спiльна,public movement is common
вінницької облдержадміністрації,vinnytsia regional state administration
тимошенко,tymoshenko
прокуратура києва,kyiv prosecutor's office
львівській області,lviv region
запорізького євромайдану,zaporizhzhya euromaidan
головному управлінні мвс україни,the head office of the ministry of foreign affairs of ukraine
тернопільські,ternopil
twitter.com/euromaidan,twitter.com/euromaidan
міліції,the police
спецпідрозділу мвс україни беркут,special unit of the ministry of foreign affairs of ukraine is golden eagle
пр,ave
офіс партії регіонів,office of the party of regions
архітектора городецького,the architect of the city
zyalt.livejournal.com,zyalt.livejournal.com
єфремову,ephraim
сесії ради,session for the sake
5 каналу,channel 5
джеффрі пайєттом,jeffrey peyotet
обладміністрації,the regional administration
наливайченко,nalyvaichenko
апу,apu
тягнибок,tiffany
мисливськими,hunting
фракції партії регіонів,factions of the party of regions
фракція партії регіонів,the faction of the party of regions
дмитра булатова,dmitry buda
закарпатті,transcarpathia
грушевського,grushevskogo
європарламенту,european parliament
сергій,sergey
20-річний,20 years old
дніпропетровська,dnipropetrovsk
дніпропетровську,dnipropetrovsk
дніропетровська,dnipropetrovsk
громадському телебаченню,public television
проекті єлюди,the project ischild
будинку профспілок,house of trade unions
євромайдан,euromaydan
13-метрової,13-meter high
сергій нігоян,sergey nigoyan
сергієм,sergius
київський,kiev
шевченка,shevchenko
нігоян сергій,nigoyan sergey
сергію нігояну,wormhole
євромайдану,euromaydan
вірменин,armenian
колонади стадіону динамо,colonades of the dynamo stadium
селі березнуватівка,village bereznavatovka
української правди,ukrainian truth
вокзал,station
донецькій областях,donetsk regions
дмитро тимчук,dmytro theschuk
фонд стратегічної культури,strategic culture fund
луганській,lugansk
тимчук,timid
шос,highway
групи  інформаційний опір,groups of information resistance
одкб,ocb
центр стратегічної кон'юнктури і т.і,center of strategic situation and so on
московський,moscow
донбаса,donbass
хільверсум,cribsome
авіакомпанії малайзійських авіаліній,malaysian airlines
@spainbuca,@spainbuca
донецьк,donetsk
східною україною,eastern ukraine
національної ради з безпеки,national security council
держдепі сша,state union of the usa
2-го батальйону,2nd battalion
олександр ходаковський,alexander chodakovsky
збройних сил україни,armed forces of ukraine
ради безпеки сша,for the sake of us security
комплекс бук,beech complex
комплексу бук,beech complex
комплекси бук,complexes of beeches
штурмовики сухого,dry storages
pawn storm,pawn storm
італії,italy
грабове,hornbeam
wall street journal,wall street journal
the wall street journal,the wall street journal
icao,icao
міжнародної організації цивільної авіації,international civil aviation organization
ракетою серії 9m38,rocket series 9m38
установок бук,installations beech
торез,toe
індонезії,indonesia
видання апостроф,publication of the apostrophe
звіті організації bellingcat,bellingcat organization report
туреччини,turkey
малайзійським рейсом,malaysian flight
зрк бук,see beech
наджібу разаку,uzzhib razaka
malaysia airlines,malaysia airlines
interpol,interpol
об'єднана слідча група,joint investigative group
амстердама,amsterdam
ракетного комплексу бук,missile complex beech
франсуаза барре-сінуссі,francesa barre-sinus
федеріки могеріні,federics mogherini
компанії malaysia airlines,malaysia airlines
мюнхена,munich
елліот хіггінс,elliott higgins
турецьке,turkish
вовк,wolf
sddeutsche zeitung,sddeutsche zeitung
ради безпеки організації об'єднаних націй,for the sake of the security of the organization of the united nations
курськом,курский
єнакієво,yenakievo
гру,game
прес-служба прокуратури,the press service of the prosecutor's office
гаазький,hague
романа сеника,seneca's novel
мін'юсту,the ministry of justice
кіровограді,kirovograd
макеєнка,makeup
макеєнко,makeyenko
оболонському районі столиці,obolonsky district of the capital
віталій кличко,vitali klitschko
владислав атрошенко,vladislav atroshenko
херсоні,chersoneses
території прикарпаття,territory of the carpathian region
захарченка,zaharchenko
гу мвс у дніпропетровській області,g mvs in dnipropetrovsk region
одеська,odessa
ар,ar
прокуратури столиці,prosecutor's office of the capital
чернівецькій області,chernivtsi region
маріїнському парку,mariinsky park
раді,happy
дорожнього контролю,road control
народну раду,people's council
будівлі ода,buildings of ode
арбузов,watermelons
народна рада броварів,people's council of brovary
комітету самоврядування києва,committee of self-government of kiev
яхта bandido,bandido yacht
одеси,odessa
тетяна чорновол,aunt chornovil
українській правді,ukrainian truth
партії удар,party strike
тсн,tcn
чорновол,blackhead
ялту,yalta
севастополем,sevastopol
балаклаві,balaclava
курінний,chicken
севастополя,sevastopol
володимир курінний,volodymyr kurin
донецьк-сніжне,donetsk snow-capped
володимира путіна марію,volodymyr putin mariya
ростовського зонального центру,rostov zonal center
росавіація,rosaviazioni
лукашевич,lukashevich
рада з безпеки нідерландів,netherlands security council
forbes,forbes
ростовський,rostov
вадим лукашевич,vadim lukashevich
російську сторону,the russian side
малазійскього,malaysian
портал знай.ua,portal find.ua
сергій нигоян,sergey nygoyan
хрещатику,khreshatyka
ірина геращенко,irina gerashchenko
беркут,golden eagle
народної ради україни,people's council of ukraine
бориспільському районі,boryspil district
президія народної ради,presidium of people's council
стадіону динамо,stadium dynamo
@vasilymaximo),@sasilymaximo)
ігоря луценка,igor lutsenko
вікторія шевченко,victoria shevchenko
юрій вербицький,yurii verbitsky
уп,up
коктейлі молотова,milk cocktails
михаило жизневський,mikhail is alive
парламентської бібліотеки,parliamentary library
оксани коваленко,oxana kovalenko
вп,vv
спостережної місії обсє,observer mission
матвеєв курган,matveev mound
новоросія  і  лнр,nursery and lnr
схід,east
українська сторона,the ukrainian side
олександр малихін,oleksandr malichin
луганській області,lugansk region
луганській областях,luhansk regions
державного реєстру,state register
магера,magera
луганській народної республіки,luhansk people's republic
він.турчинов,he.turchi
вр україни,vr ukraine
державного реєстру виборців,the state register of voters
униан,unian
андрій магера,andrew mahera
донецькій,donetsk
ігоря бєзлера,igor bazler
( бєса,(bess
бесу,demo
генштабу збройних сил рф,general staff of armed forces rf
facebook.com/oleksandr.aronets,facebook.com/oleksandr.aronets
андрій парубій,andrew is a boyfriend
фракції батьківщина,faction homeland
київської міліції,kiev militia
розі шовковичної та грушевського,pink mulberry and greshevsky
обозреватель,browser
вулиці шовковичній,silky street
інститутської,institutes
урядовий квартал,government quarter
об'єднання правий сектор,union the right sector
липській,lilac
запоріжжі,zaporozhye
володимир рибак,volodymyr rybak
правого сектора,the right sector
михайла малиновського,michael malinowski
будівлі верховної ради,buildings of the supreme council
шовковичній,mulberry
арсеній яценюк,arseny yatsenyuk
віктор чумак,victor chumac
лесі оробець,forest flint
штабом національного опору,the headquarters of the national resistance
михайло жизневський,michael is alive
facebook.com/amolchanova,facebook.com/amolchanova
олександр бригинець,alexander brygines
батьківщини,homeland
центру києва,center of kiev
свободівець,libertarian
корреспондент.net,korrespondent.net
олександр аронець,alexander aronets
луганськ,lugansk
донецькій області,donetsk region
літака мн17,airplane 17
малайзійських,malaysian
громадське,public
установки бук ракетою,installing beech rocket
мн17 17,17 17
53-ї бригади,53rd brigade
бук 332,beech 332
boeing mh17,boeing mh17
дослідницької групи bellingcat,research group bellingcat
літака рейсу мн17,flight plane mn17
грабового,hornbeam
міністерство оборони росії,ministry of defense of russia
свободівські,freedom
во  свобода ,in freedom
ipress.ua,ipress.ua
парламентська фракція партії регіонів,parliamentary faction of the party of regions
кабінету міністрів україни,cabinet of ministers of ukraine
стадіоном  динамо ,stadium dynamo
маріїнським парком,mariinsky park
стелли,stelli
богдан вайда,bogdan vaida
birdinflight.com,birdinflight.com
ігор сердюк,games hearty
афганістані,afghanistan
іван бубенчик,ivan is a bunny
радянській армії,the soviet army
студії громадського кіно babylon'13,studio public cinema babylon'13
віктор шокін,victor shock
школі військової розвідки,military intelligence school
автомат калашникова,kalashnikov automatic machine
генпрокуратура,general prosecutor's office
донбасом,donbass
генерального штабу україни,the general staff of ukraine
генштабі,general staff
гради,hailstones
еспресо.tv,espresso.tv
генштаб,general staff
селезньов,choices
владислав селезньов,vladislav branch
дебальцевого,debaltsevy
дебальцеве,debauchery
коктейли молотова,cocktails hammered
кримського півострова,crimean peninsula
артилерійські,artillery
керченської,kerch
джоном керрі,john kerry
лондоні,london
а. расмуссен,and. rasmusens
авіакомпанії малайзійські авіалінії,malaysian airlines
мінський,the minsk
статуту оон,statute of un
повітряних сил,air forces
міжнародним комітетом червоного хреста,international committee of the red cross
мінський комплекс заходів,mine complex of measures
комісії україна,commission of ukraine
донецький аеропорт,donetsk airport
сергій лавров,sergey lavrov
єнакієве,yenakievo
генерального штабу,general staff
сухопутних військ,ground troops
збройних добровольчих формувань україни,armed volunteer forces of ukraine
женевськими,geneva
дебальцевських,debaltsevsky
сталінградом,stalingrad
дебальцевського,debaltsevsky
зсу,shifted
дебальцевим,debaltsevym
майор олександр махов,major aleksandr makhov
генштабу зсу,general staff shift
генштабу,general staff
збройні сили російської федерації,armed forces of the russian federation
